video_id,views,likes,comments,crawl_date
0UrO6vzc-9w,85553,1435,486,2025-11-25T03:45:54.601442+00:00
0VWshLxxzus,784,23,2,2025-11-25T03:45:54.601445+00:00
0WBX_aH0KcM,1227,15,0,2025-11-25T03:45:54.601448+00:00
0WVBkBr3tQw,1044,15,4,2025-11-25T03:45:54.601451+00:00
0Yajy17EwUU,20872,82,1,2025-11-25T03:45:54.601454+00:00
0ZosorsSUtI,1030,16,0,2025-11-25T03:45:54.601457+00:00
0Ztma0ilRZo,29418,567,0,2025-11-25T03:45:54.601460+00:00
0ZvWOutwR6o,168,11,0,2025-11-25T03:45:54.601464+00:00
0aIilaSuSb4,5211,186,0,2025-11-25T03:45:54.601467+00:00
0ba0PK1rH_M,57292,0,0,2025-11-25T03:45:54.601470+00:00
0beL5ZLNGQs,16,3,0,2025-11-25T03:45:54.601473+00:00
0ckCkO6xEHU,1562,0,0,2025-11-25T03:45:54.601476+00:00
0dXNXHnUzb8,1517,6,2,2025-11-25T03:45:54.601480+00:00
0fDkTxxH-4c,1624,61,2,2025-11-25T03:45:54.601483+00:00
0foLK5KSg6E,5752,136,81,2025-11-25T03:45:55.207237+00:00
0jMC9TK0VvA,4,0,0,2025-11-25T03:45:55.207258+00:00
0jXXApEoKKY,121351,3834,18,2025-11-25T03:45:55.207263+00:00
0ksCDMPt7M0,29071,136,0,2025-11-25T03:45:55.207266+00:00
0lEvUcWh_dY,1792,15,1,2025-11-25T03:45:55.207269+00:00
0lPeL4UlrlM,17084,59,0,2025-11-25T03:45:55.207272+00:00
0loPyfQXe-o,44205,76,0,2025-11-25T03:45:55.207275+00:00
0mLG_jpdo5w,37286,821,15,2025-11-25T03:45:55.207279+00:00
0mW2KivdmQg,2438,0,2,2025-11-25T03:45:55.207282+00:00
0mdrl0qZ9hs,1169,15,1,2025-11-25T03:45:55.207284+00:00
0p48us-OQkE,17695,91,1,2025-11-25T03:45:55.207287+00:00
0qvc_KGRkyQ,8137,27,0,2025-11-25T03:45:55.207290+00:00
0tPWgRrYt6s,13164,60,0,2025-11-25T03:45:55.207293+00:00
0tc1JCRAW9E,1836,25,3,2025-11-25T03:45:55.207296+00:00
0xYRUHw9pyc,310,6,0,2025-11-25T03:45:55.207300+00:00
0xnuGzh6Vls,5812,130,0,2025-11-25T03:45:55.207303+00:00
1-1TAUx7Zmg,1302,0,0,2025-11-25T03:45:55.207306+00:00
1-PIqAFckAA,4801,0,0,2025-11-25T03:45:55.207309+00:00
1-vWDglS1Hs,17197,214,1,2025-11-25T03:45:55.207311+00:00
12nje3JeoX0,36370,170,0,2025-11-25T03:45:55.207314+00:00
13-Qd2I0nY8,24514,260,1,2025-11-25T03:45:55.207317+00:00
145w0_HPO8Q,62,12,2,2025-11-25T03:45:55.207320+00:00
14AJAXYiu-U,44287,48,2,2025-11-25T03:45:55.207326+00:00
14LstoOJEpw,29960,0,0,2025-11-25T03:45:55.207329+00:00
16EgfCncHQA,407,5,4,2025-11-25T03:45:55.207331+00:00
16vivf1yXvE,40480,182,0,2025-11-25T03:45:55.207335+00:00
